user_id,signup_date,test_date,browser,test,pages_visited
34,2015-01-01,2015-08-15,Chrome,0,6
59,2015-01-01,2015-08-12,Chrome,1,6
178,2015-01-01,2015-08-10,Safari,1,3
383,2015-01-01,2015-08-05,Firefox,1,9
397,2015-01-01,2015-08-27,IE,0,1
488,2015-01-01,2015-08-10,Chrome,0,1
656,2015-01-01,2015-08-31,Chrome,1,7
771,2015-01-01,2015-08-07,IE,0,6
1068,2015-01-01,2015-08-31,Chrome,0,1
1131,2015-01-01,2015-08-11,Firefox,0,4
1146,2015-01-01,2015-08-19,Chrome,1,5
1154,2015-01-01,2015-08-01,IE,0,8
1255,2015-01-01,2015-08-19,Firefox,1,3
1348,2015-01-01,2015-08-10,Chrome,0,3
1596,2015-01-01,2015-08-25,Chrome,1,6
1619,2015-01-01,2015-08-05,Chrome,1,1
1711,2015-01-01,2015-08-28,IE,1,5
1888,2015-01-01,2015-08-12,Chrome,1,1
1916,2015-01-01,2015-08-07,Chrome,1,2
1953,2015-01-01,2015-08-20,Chrome,1,7
2051,2015-01-01,2015-08-31,Chrome,0,2
2121,2015-01-01,2015-08-07,Chrome,0,6
2161,2015-01-01,2015-08-24,Chrome,0,1
2527,2015-01-01,2015-08-05,IE,1,4
2549,2015-01-01,2015-08-31,Safari,1,3
2650,2015-01-01,2015-08-04,Chrome,1,2
2733,2015-01-01,2015-08-26,IE,1,7
2768,2015-01-01,2015-08-15,Chrome,1,2
2775,2015-01-01,2015-08-12,Firefox,1,2
2857,2015-01-01,2015-08-08,Chrome,1,5
2872,2015-01-01,2015-08-18,Safari,0,10
3077,2015-01-01,2015-08-16,Safari,0,7
3087,2015-01-01,2015-08-20,Chrome,1,8
3496,2015-01-01,2015-08-18,Chrome,0,5
3507,2015-01-01,2015-08-25,Safari,1,3
3570,2015-01-01,2015-08-15,IE,0,10
3693,2015-01-01,2015-08-09,Firefox,1,4
3787,2015-01-01,2015-08-28,IE,1,2
4072,2015-01-01,2015-08-07,Safari,0,6
4113,2015-01-01,2015-08-09,Firefox,0,1
4182,2015-01-01,2015-08-08,Chrome,1,3
4224,2015-01-01,2015-08-18,IE,0,9
4334,2015-01-01,2015-08-25,Safari,0,5
4425,2015-01-01,2015-08-11,Chrome,0,1
4513,2015-01-01,2015-08-06,Safari,0,8
4525,2015-01-01,2015-08-15,Firefox,0,12
4528,2015-01-01,2015-08-25,Chrome,0,1
4623,2015-01-01,2015-08-30,IE,1,6
4664,2015-01-01,2015-08-14,Chrome,1,5
4670,2015-01-01,2015-08-07,IE,1,6
4785,2015-01-01,2015-08-06,Chrome,0,4
4859,2015-01-01,2015-08-06,Safari,1,4
4956,2015-01-01,2015-08-14,Chrome,1,3
4961,2015-01-01,2015-08-04,Chrome,0,9
5036,2015-01-01,2015-08-24,Chrome,0,2
5222,2015-01-01,2015-08-19,Chrome,1,5
5247,2015-01-01,2015-08-01,Chrome,1,1
5250,2015-01-01,2015-08-25,Safari,1,5
